"title","producer","year","genre","language","plot"
"Inception","Christopher Nolan",2010,"Action, Adventure, Sci-Fi","English","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
"The Lord of the Rings: The Return of the King","Peter Jackson",2003,"Adventure, Drama, Fantasy","English","Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"Gladiator","Ridley Scott",2000,"Action, Adventure, Drama","English","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"The Silence of the Lambs","Jonathan Demme",1991,"Crime, Drama, Thriller","English","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
"The Prestige","Christopher Nolan",2006,"Drama, Mystery, Sci-Fi","English","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
"The Lord of the Rings: The Return of the King","Peter Jackson",2003,"Adventure","English","Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"The Lion King","Roger Allers, Rob Minkoff",1994,"Animation","English","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"Gladiator","Ridley Scott",2000,"Action","English","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"Inglourious Basterds","Quentin Tarantino",2009,"Adventure","English","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owners vengeful plans for the same."
"The Sixth Sense","M. Night Shyamalan",1999,"Drama","English","A boy who communicates with spirits seeks the help of a disheartened child psychologist."
"The Shining","Stanley Kubrick",1980,"Drama","English","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
"The Departed","Martin Scorsese",2006,"Crime","English","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
"The Truman Show","Peter Weir",1998,"Comedy","English","An insurance salesman discovers his whole life is actually a reality TV show."
"Shutter Island","Martin Scorsese",2010,"Mystery","English","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
"Train to Busan","Yeon Sang-ho",2016,"horror, thriller","Korean","A horror-thriller film set on a speeding train during a zombie outbreak, where passengers fight for survival."
"Oldboy","Park Chan-wook",2003,"mystery, thriller","Korean","A mystery-thriller film about a man who is inexplicably imprisoned for 15 years and seeks revenge upon his release."
"Memories of Murder","Bong Joon-ho",2003,"crime, drama","Korean","A crime-drama film based on the true story of the hunt for South Korea's first serial killer in the 1980s."
"Burning","Lee Chang-dong",2018,"mystery, drama","Korean","A mystery-drama film about a young man who becomes suspicious of his wealthy friend's mysterious hobby, leading to a tense confrontation."
"A Taxi Driver","Jang Hoon",2017,"drama, historical","Korean","A historical drama film based on the true story of a taxi driver who helps a German journalist cover the Gwangju Uprising in 1980s South Korea."
